Handle,Title,Body (HTML),Vendor,Type,Product Category,Tags,Variant Price,Variant Compare At Price,Image Src,Image Alt Text,Status
anillo-cuentas-doradas-relieve,Anillo con cuentas doradas en relieve,"<p>Un impresionante anillo de oro de 18 quilates. Su superficie texturizada capta y refleja la luz desde todos los ángulos, aportando un brillo moderno y minimalista.</p>",Mrs. Gold,featured_products,Anillos,"Oro 18k, Anillo, Minimalista",340.00,400.00,/images/anillos/anillo_alambre_desestresante.png,Anillo con cuentas doradas en relieve,active
anillo-cuentas-doradas-relieve-esmeralda,Anillo con cuentas doradas en relieve (Zircón verde),"<p>Un zircón de un verde intenso es el protagonista de esta exquisita pieza. La banda presenta un elegante diseño de enredaderas inspirado en el símbolo del infinito.</p>",Mrs. Gold,,Anillos,"Oro 18k, Anillo, Zircón verde",240.00,290.00,/images/anillos/anillo_circon_blanco.png,Anillo con cuentas doradas en relieve (Zircón verde),active
solitario-radiant-bypass,Solitario Radiant Bypass,"<p>Un elegante anillo con un brillante circonita blanca, enmarcada por una banda fluida en forma de bypass adornada con delicadas circonitas engastadas en pavé.</p>",Mrs. Gold,featured_products,Anillos,"Oro 18k, Anillo, Circonita",360.00,430.00,/images/anillos/anillo_circon_blanco_bola.png,Solitario Radiant Bypass,active
anillo-dos-esferas,Anillo llamativo con dos esferas,"<p>Un anillo estilo abierto que destaca dos esferas contrastantes: una pulida y la otra totalmente engastada con brillantes circonitas blancas.</p>",Mrs. Gold,,Anillos,"Oro 18k, Anillo, Circonita",370.00,440.00,/images/anillos/anillo_circon_blanco_simple.png,Anillo llamativo con dos esferas,active
solitario-elegancia-eterna,Solitario Elegancia eterna,"<p>El símbolo por excelencia de la belleza atemporal. Este anillo luce una magnífica circonita blanca de talla redonda engastada en una clásica montura de cuatro garras.</p>",Mrs. Gold,featured_products,Anillos,"Oro 18k, Anillo, Circonita",270.00,320.00,/images/anillos/anillo_circon_verde_dos.png,Solitario Elegancia eterna,active
escaladores-curva-esmeralda,Escaladores de la Curva Esmeralda,"<p>Elegantes pendientes de oro de 18 quilates con una fila escalonada de circonitas de un verde intenso. Un diseño moderno que sigue la curva natural de la oreja.</p>",Mrs. Gold,featured_products,Aretes,"Oro 18k, Aretes, Circonita verde",60.00,80.00,/images/aretes/aretes_circon_verde.png,Escaladores de la Curva Esmeralda,active
pendientes-golden-seed,Pendientes Golden Seed,"<p>Unicazos inspirados en granos de café. Cada pieza está delicadamente adornada con un brillante circonita verde.</p>",Mrs. Gold,,Aretes,"Oro 18k, Aretes, Circonita verde",60.00,80.00,/images/aretes/aretes_circon_verde_grano_cafe.png,Pendientes Golden Seed,active
solitarios-clasicos-verde-esmeralda,Solitarios clásicos en verde esmeralda,"<p>Pendientes de oro con circonitas de color verde intenso en un clásico engaste de tres puntas. El complemento minimalista perfecto para añadir un toque de color.</p>",Mrs. Gold,,Aretes,"Oro 18k, Aretes, Circonita verde",60.00,80.00,/images/aretes/aretes_circon_verde_pequeños.png,Solitarios clásicos en verde esmeralda,active
lagrimas-oro-pulido,Lágrimas de oro pulido,"<p>Pendientes de oro con una silueta en forma de lágrima, sin juntas y de gran brillo. Su diseño fluido y escultural aporta ung estética sobria y lujosa para cualquier ocasión.</p>",Mrs. Gold,featured_products,Aretes,"Oro 18k, Aretes, Minimalista",60.00,80.00,/images/aretes/aretes_gotas.webp,Lágrimas de oro pulido,active
macrame-detalles-dorados,Macrame con detalles dorados,"<p>Esta elegante pulsera combina un cordón trenzado negro de estilo minimalista con cuentas de oro de 18 quilates pulidas y facetadas. Una pieza versátil ideal para el día a día.</p>",Mrs. Goldah,featured_products,Pulseras,"Oro 18k, Pulsera, Macramé",250.00,300.00,/images/pulseras/pulsera_bolas_cordon_negro.png,Macrame con detalles dorados,active
brillo-dorado-cordon-negro,Brillo dorado con cordón negro,"<p>Una elegante pulsera de macramé con brillantes cuentas facetadas de oro. El cordón de nailon negro crea un marcado contraste que hace que el oro brille con intensidad.</p>",Mrs. Goldah,,Pulseras,"Oro 18k, Pulsera, Macramé",250.00,300.00,/images/pulseras/pulsera_bolas_cordon_negro_version_dos.png,Brillo dorado con cordón negro,active
cordon-rojo-pasion-oro,Cordón rojo, pasión y oro,"<p>Una Ilamativa pulsera de macramé de nailon rojo adornada con cuentas facetadas de oro de 18 quilates. El cordón de color rojo intenso aporta un toque de pasión al clásico brillo del oro.</p>",Mrs. Goldah,,Pulseras,"Oro 18k, Pulsera, Macramé",260.00,310.00,/images/pulseras/pulsera_bolas_cordon_rojo.png,Cordón rojo, pasión y oro,active
esfera-dorada-macrame-esmeralda,Esfera dorada y macramé esmeralda,"<p>Una exquisita pulsera de macramé hecha a mano con cordón de nailon dorado. Con cuentas esféricas de oro de 18 quilates y una esmeralda natural verde en el centro.</p>",Mrs. Goldah,featured_products,Pulseras,"Oro 18k, Pulsera, Macramé, Esmeralda",240.00,290.00,/images/pulseras/pulsera_bolas_esmeralda_bola_cordon.png,Esfera dorada y macramé esmeralda,active
texturas-esmeraldas-bruto,Texturas y esmeraldas en bruto,"<p>Una pulsera única de macramé de nailon dorado, adornada con seis cuentas de oro de 18 quilates con múltiples facetas y una preciosa barra de esmeralda natural en bruto.</p>",Mrs. Goldah,,Pulseras,"Oro 18k, Pulsera, Macramé, Esmeralda",240.00,290.00,/images/pulseras/pulsera_bolas_esmeralda_cordon.png,Texturas y esmeraldas en bruto,active
macrame-corona-dorada,Macramé Corona Dorada,"<p>Una pulsera de aspecto majestuoso, tejida con cordón de nailon dorado, con un colgante central en forma de corona de oro de 18 quilates flanqueado por numerosas cuentas facetadas de oro de 18 quilates.</p>",Mrs. Goldah,featured_products,Pulseras,"Oro 18k, Pulsera, Macramé",1190.00,1400.00,/images/pulseras/pulsera_bolas_rolex.png,Macramé Corona Dorada,active
